Object Name,RA,DEC,Redshift z,Heliocentric Velocity,Magnitude,Associations
WISEA J125812.09+280933.0,194.55033,28.15905,0.024367,7305,19.73,0
WISEA J125834.04+265359.6,194.64205,26.89984,0.02702,8100,19.73,0
WISEA J130107.48+275603.3,195.28114,27.93424,0.02701,8097,19.73,0
WISEA J130145.29+281802.1,195.43873,28.30054,0.02476,7423,19.73,0
WISEA J130404.35+280951.5,196.01811,28.16426,0.022035,6606,19.73,0
WISEA J130421.05+275030.7,196.08783,27.84192,0.023373,7007,19.73,0
WISEA J125338.98+274438.9,193.41208,27.74426,0.025876,7757,19.74,0
WISEA J125936.14+291619.4,194.90032,29.27206,0.027425,8222,19.74,0
SDSS J130020.21+275937.6,195.08425,27.99379,0.022722,6812,19.74,1
WISEA J130122.51+273222.8,195.34382,27.5398,0.025693,7703,19.75,0
WISEA J130416.59+281624.1,196.06929,28.27326,0.022629,6784,19.75,0
WISEA J125616.61+270248.1,194.06932,27.04671,0.024541,7357,19.76,0
SDSS J125516.98+275738.0,193.82074,27.96055,0.020065,6015,19.77,0
WISEA J130044.91+283142.1,195.18753,28.52844,0.022994,6893,19.77,0
GALEXASC J130409.98+281643.8,196.04059,28.27877,0.025202,7555,19.77,0
WISEA J130417.10+274828.6,196.07125,27.80805,0.022108,6628,19.77,0
SDSS J125410.12+272708.4,193.54218,27.45234,0.023016,6900,19.78,0
WISEA J125448.82+274705.4,193.70359,27.78472,0.021609,6478,19.78,0
WISEA J125750.93+273205.5,194.46211,27.53474,0.019141,5738,19.78,0
WISEA J125616.20+275447.0,194.06711,27.91243,0.022843,6848,19.79,0
WISEA J125620.40+274718.5,194.08488,27.78849,0.022485,6741,19.79,0
WISEA J130405.89+281307.6,196.02451,28.2188,0.02169,6502,19.79,0
WISEA J125405.56+281357.8,193.5232,28.23279,0.024247,7269,19.8,0
WISEA J125636.66+274846.5,194.15285,27.81307,0.02503,7504,19.81,0
WISEA J125744.47+274003.0,194.43532,27.66749,0.020331,6095,19.81,0
WISEA J125842.30+275819.8,194.67628,27.97217,0.021286,6381,19.81,0
WISEA J130044.24+274719.7,195.18457,27.78869,0.026499,7944,19.81,0
WISEA J130300.40+280945.5,195.7517,28.16274,0.019157,5743,19.81,0
WISEA J125926.35+275918.1,194.8599,27.98843,0.025571,7666,19.82,0
WISEA J125422.36+282225.2,193.59302,28.37366,0.025578,7668,19.83,0
WISEA J130027.67+280324.1,195.11502,28.05662,0.0193,5786,19.83,1
WISEA J130607.46+281431.5,196.53116,28.24211,0.0245,7345,19.83,0
WISEA J130056.24+273150.9,195.23433,27.53088,0.025868,7755,19.84,0
WISEA J130251.60+274051.9,195.71496,27.68091,0.017999,5396,19.84,0
WISEA J130002.53+285241.2,195.01042,28.87824,0.023049,6910,19.86,0
WISEA J130130.59+274312.8,195.3775,27.72054,0.024888,7461,19.86,0
WISEA J125606.41+281754.2,194.02673,28.29844,0.024225,7262,19.87,0
SDSS J125737.12+275559.5,194.4047,27.93323,0.02669,8001,19.87,0
SDSS J125927.98+280741.7,194.86665,28.12828,0.018384,5511,19.87,0
WISEA J125536.37+275554.1,193.90161,27.93175,0.021102,6326,19.88,0
GALEXMSC J125647.34+274749.6,194.19766,27.79737,0.023679,7099,19.88,0
WISEA J125814.52+274127.9,194.56038,27.69098,0.025211,7558,19.88,0
WISEA J125819.83+272943.5,194.58267,27.49548,0.027333,8194,19.88,0
WISEA J130325.05+275525.3,195.85454,27.92383,0.023484,7040,19.88,0
WISEA J125526.99+272025.8,193.8623,27.34047,0.024876,7458,19.89,0
WISEA J125813.60+275419.3,194.5566,27.90526,0.027392,8212,19.89,0
WISEA J125944.92+274549.1,194.93721,27.76351,0.026793,8032,19.89,0
DESI J195.3384+28.1988,195.33849,28.19887,0.02622,7861,19.89,0
WISEA J130520.93+283123.3,196.33742,28.52312,0.02324,6967,19.89,0
SDSS J125803.02+280951.8,194.5126,28.16438,0.026377,7908,19.9,0
WISEA J130002.33+274310.8,195.00979,27.71966,0.018819,5642,19.9,0
WISEA J130048.26+275006.4,195.20085,27.83544,0.025989,7791,19.9,0
WISEA J130107.16+275859.3,195.27992,27.98311,0.023629,7084,19.9,0
WISEA J130109.14+281423.9,195.28802,28.24003,0.02166,6494,19.9,0
WISEA J125618.42+271548.0,194.07678,27.26336,0.019783,5931,19.91,0
SDSS J125835.37+272859.7,194.64738,27.48325,0.021491,6443,19.91,0
WISEA J125634.81+273739.7,194.14527,27.62736,0.027374,8207,19.92,0
WISEA J125757.50+272449.3,194.48967,27.41364,0.025788,7731,19.92,0
SDSS J125650.97+274621.8,194.21236,27.77269,0.021166,6345,19.93,0
WISEA J125601.27+272623.9,194.00533,27.44,0.02508,7519,19.94,0
WISEA J130009.14+275021.7,195.03814,27.83951,0.01906,5714,19.94,0
WISEA J130109.62+274045.5,195.28995,27.67937,0.026559,7962,19.94,0
WISEA J130155.53+285004.3,195.48135,28.83457,0.024809,7438,19.94,0
SDSS J125557.70+270107.3,193.99045,27.01872,0.022452,6731,19.95,0
WISEA J125700.86+265516.0,194.25336,26.92116,0.022626,6783,19.95,0
WISEA J125705.74+270520.3,194.27398,27.08904,0.02504,7507,19.95,0
WISEA J125745.42+274617.1,194.43924,27.77146,0.022551,6761,19.95,0
SDSS J130054.06+281920.1,195.22509,28.3223,0.025025,7502,19.95,0
WISEA J130207.11+291405.7,195.52945,29.23508,0.023944,7178,19.95,0
WISEA J130422.94+274730.7,196.09561,27.79209,0.017487,5242,19.95,0
WISEA J125413.50+281638.6,193.55617,28.27732,0.023336,6996,19.96,0
WISEA J125855.48+275315.1,194.73125,27.88743,0.026319,7890,19.96,0
WISEA J130238.54+274322.1,195.66076,27.72302,0.023322,6992,19.96,0
WISEA J125639.39+274824.8,194.16418,27.80687,0.020753,6222,19.97,0
WISEA J125824.80+270844.4,194.60344,27.14566,0.0251,7525,19.97,0
WISEA J130122.29+271957.0,195.34315,27.33254,0.021936,6576,19.97,0
WISEA J130216.89+275044.3,195.57035,27.84564,0.025478,7638,19.97,0
WISEA J125631.88+275117.1,194.13284,27.85484,0.022269,6676,19.99,0
SDSS J125757.21+282646.9,194.4884,28.44639,0.019331,5795,19.99,0
WISEA J125757.55+275529.3,194.48986,27.92487,0.018694,5604,19.99,0
WISEA J130113.77+282809.3,195.30777,28.46933,0.021177,6349,19.99,0
WISEA J130508.03+283212.0,196.28353,28.53662,0.023742,7118,19.99,0
WISEA J125731.60+272123.7,194.38173,27.35669,0.023875,7158,20,0
COMAi J130004.034+280030.79,195.01682,28.00854,0.02118,6350,20,4
WISEA J125525.41+274429.8,193.85585,27.7415,0.021675,6498,20.01,0
WISEA J125531.27+271104.0,193.8802,27.18433,0.023181,6949,20.01,0
WISEA J125628.49+274400.2,194.11888,27.73356,0.023344,6998,20.01,0
WISEA J130028.44+274540.0,195.11839,27.76123,0.023074,6917,20.01,0
WISEA J125834.48+280035.1,194.64376,28.00982,0.021456,6432,20.02,0
WISEA J125911.64+281225.6,194.79838,28.20718,0.025257,7572,20.02,0
WISEA J130105.65+275856.2,195.27351,27.98209,0.017042,5109,20.03,0
WISEA J130116.08+272238.0,195.31709,27.37739,0.022617,6780,20.03,0
WISEA J125628.16+272859.2,194.11735,27.48309,0.027407,8216,20.04,0
WISEA J125808.92+275504.9,194.53701,27.91805,0.019892,5963,20.04,0
WISEA J130110.56+281638.2,195.29386,28.27755,0.021565,6465,20.04,0
WISEA J125658.81+283344.1,194.24513,28.56228,0.023048,6910,20.05,0
WISEA J125742.23+284602.5,194.42569,28.76716,0.023766,7125,20.05,0
SDSS J130018.24+281235.1,195.07605,28.20975,0.02578,7729,20.05,0
WISEA J125806.63+284101.2,194.52786,28.68378,0.025889,7761,20.06,0
SDSS J125945.70+282514.4,194.94038,28.42063,0.01986,5954,20.06,0
SDSS J130004.22+280924.2,195.01761,28.15678,0.023955,7182,20.06,0
SDSS J130220.18+273012.5,195.58405,27.50348,0.026675,7997,20.06,0
WISEA J125619.43+290732.5,194.08112,29.1261,0.024913,7469,20.07,0
SDSS J125602.83+281100.2,194.01176,28.18339,0.018682,5601,20.08,0
WISEA J125614.87+274649.4,194.0621,27.78058,0.022598,6775,20.08,0
NSA 142584,194.26117,27.41264,0.025415,7619,20.08,0
WISEA J130520.14+282706.4,196.33373,28.4519,0.022042,6608,20.08,0
WISEA J125540.37+275331.8,193.91814,27.89219,0.019943,5979,20.09,0
WISEA J125626.15+274712.9,194.109,27.78682,0.023936,7176,20.09,0
WISEA J125709.08+270146.8,194.28817,27.02946,0.022857,6852,20.09,0
WISEA J130146.34+273617.0,195.44298,27.60465,0.019255,5773,20.09,0
WISEA J125638.48+272739.8,194.16043,27.46097,0.024372,7307,20.1,0
SDSS J130018.70+275512.6,195.07796,27.92017,0.021953,6581,20.1,0
WISEA J125813.14+270113.9,194.55488,27.02048,0.02673,8013,20.11,0
WISEA J125633.88+285510.8,194.14114,28.91987,0.023101,6926,20.13,0
WISEA J125642.02+270339.1,194.17511,27.06099,0.025014,7499,20.13,0
WISEA J130103.11+280134.6,195.26305,28.02626,0.020027,6004,20.14,0
WISEA J130222.25+280806.2,195.59274,28.13535,0.020141,6038,20.14,0
WISEA J125559.68+271018.2,193.99868,27.17171,0.018698,5606,20.15,0
WISEA J125726.69+275028.9,194.36114,27.8413,0.020908,6268,20.15,0
WISEA J125823.38+273857.5,194.59728,27.64954,0.025548,7659,20.15,0
SDSS J125638.63+265233.9,194.16094,26.87608,0.023288,6982,20.16,0
WISEA J125647.81+270752.1,194.1992,27.13118,0.025755,7721,20.17,0
WISEA J125939.26+273107.8,194.91391,27.51889,0.019622,5883,20.17,0
WISEA J130029.03+274836.1,195.12083,27.81009,0.021869,6556,20.17,0
WISEA J130044.57+275348.2,195.18569,27.89685,0.020658,6193,20.17,0
SDSS J125647.05+272726.3,194.19607,27.45733,0.023782,7130,20.18,0
SDSS J125840.04+264701.1,194.66684,26.78369,0.021233,6365,20.18,0
SDSS J125857.31+280506.4,194.73874,28.08513,0.027917,8369,20.18,0
GALEXASC J130218.21+285917.8,195.57572,28.98813,0.022304,6687,20.18,0
WISEA J125432.50+274600.8,193.63554,27.76681,0.025609,7677,20.19,0
WISEA J125702.23+270752.8,194.25913,27.13109,0.026058,7812,20.19,0
WISEA J130202.06+282248.0,195.50875,28.37995,0.020825,6243,20.2,0
WISEA J125844.40+274740.9,194.68494,27.79474,0.020578,6169,20.21,0
WISEA J125938.38+281214.4,194.90998,28.20387,0.019235,5767,20.21,0
WISEA J130038.60+272834.8,195.16099,27.47649,0.026475,7937,20.21,1
SMDG J1301214+280527,195.33912,28.09067,0.023016,6900,20.21,0
WISEA J130157.97+274947.3,195.49151,27.8299,0.024028,7203,20.21,0
WISEA J125949.41+280959.7,194.95602,28.16656,0.021582,6470,20.22,0
SDSS J130014.15+280407.4,195.05904,28.06867,0.0242,7255,20.22,0
WISEA J130107.67+274629.2,195.28192,27.77452,0.025665,7694,20.23,0
WISEA J130247.06+280749.5,195.69612,28.13026,0.022341,6698,20.23,0
WISEA J125643.31+272825.3,194.18067,27.47372,0.027015,8099,20.24,0
SDSS J130020.57+275300.3,195.08565,27.88348,0.023157,6942,20.24,0
SDSS J125655.80+270711.1,194.23239,27.11967,0.0183,5486,20.25,0
SDSS J125738.53+290236.9,194.41085,29.04356,0.023289,6982,20.26,0
WISEA J130026.24+274240.9,195.10944,27.71145,0.025252,7570,20.26,0
WISEA J130241.48+274449.0,195.67292,27.74697,0.017264,5176,20.26,0
DESI J194.3402+27.4861,194.34025,27.48615,0.0256,7675,20.27,0
WISEA J125835.45+274630.1,194.64766,27.77504,0.019896,5965,20.27,0
WISEA J125935.62+273542.8,194.89851,27.59531,0.027717,8309,20.27,0
SDSS J130014.56+273743.2,195.06072,27.62867,0.020173,6048,20.27,0
WISEA J125627.00+274031.5,194.11228,27.67559,0.024154,7241,20.28,0
WISEA J130016.70+275639.2,195.06948,27.94412,0.0179,5366,20.28,0
DESI J195.5277+28.6024,195.5277,28.6024,0.023214,6959,20.28,0
AGC 234238,196.09265,28.7641,0.018379,5510,20.28,0
SDSS J125711.01+273142.2,194.29591,27.52844,0.027106,8126,20.29,0
WISEA J125834.12+282930.6,194.64238,28.49191,0.025944,7778,20.29,0
WISEA J125834.69+265639.3,194.64458,26.94457,0.022293,6683,20.29,1
SDSS J130038.27+274113.6,195.15955,27.68711,0.02677,8025,20.29,0
WISEA J130315.37+280430.9,195.81378,28.0753,0.021065,6315,20.29,0
SDSS J125431.17+273844.6,193.62986,27.64573,0.027906,8366,20.31,0
WISEA J125906.21+273737.2,194.77582,27.62703,0.022528,6754,20.31,0
WISEA J125832.90+274315.1,194.63704,27.72088,0.022147,6640,20.32,1
WISEA J125548.23+273041.4,193.95105,27.51106,0.024079,7219,20.33,0
WISEA J125756.97+275505.6,194.48737,27.91848,0.026103,7825,20.33,0
SDSS J125811.35+283537.3,194.54728,28.59369,0.019203,5757,20.33,0
WISEA J125804.48+273559.8,194.51848,27.59981,0.01995,5981,20.34,0
WISEA J130008.54+272348.3,195.03569,27.39667,0.02031,6089,20.34,1
WISEA J130230.04+283829.9,195.62529,28.64142,0.024113,7229,20.34,0
WISEA J125901.84+275154.5,194.75791,27.86511,0.025761,7723,20.35,0
WISEA J130107.58+280428.1,195.28163,28.07434,0.025153,7541,20.35,0
SDSS J130206.15+284357.2,195.52559,28.73258,0.023567,7065,20.35,0
WISEA J130444.61+281114.8,196.18584,28.18739,0.025518,7650,20.35,0
SDSS J125755.24+264950.8,194.48016,26.83077,0.018674,5598,20.38,0
WISEA J125902.44+280021.8,194.76016,28.00593,0.027097,8123,20.38,0
WISEA J125947.20+274340.6,194.94665,27.72807,0.027681,8299,20.38,0
WISEA J125722.74+284142.5,194.34484,28.6951,0.023154,6941,20.39,0
WISEA J125752.73+273442.5,194.46961,27.57813,0.022906,6867,20.39,0
WISEA J125814.44+275442.3,194.56014,27.91171,0.024517,7350,20.39,0
WISEA J125831.94+271507.0,194.63293,27.25227,0.025425,7622,20.39,0
WISEA J125944.15+274435.4,194.93378,27.74305,0.025314,7589,20.39,0
WISEA J125958.22+275411.0,194.99257,27.90299,0.0244,7315,20.39,2
WISEA J125905.94+280229.2,194.77472,28.04135,0.0272,8154,20.4,0
WISEA J130141.57+280438.9,195.42277,28.07732,0.022629,6784,20.4,0
WISEA J130104.46+281238.8,195.26874,28.21063,0.021359,6403,20.42,0
SDSS J130337.89+273659.2,195.9079,27.61645,0.021986,6591,20.42,0
WISEA J130334.34+280943.2,195.89322,28.1621,0.025299,7584,20.43,0
AGC 221155,194.25276,29.05402,0.025071,7516,20.44,0
WISEA J130027.33+272620.4,195.11377,27.43854,0.024385,7310,20.44,0
WISEA J130213.77+273028.5,195.55757,27.50818,0.025474,7637,20.44,0
WISEA J125645.55+274639.0,194.18929,27.7773,0.020601,6176,20.45,0
WISEA J130115.20+280220.4,195.31362,28.03902,0.01887,5657,20.45,0
WISEA J130121.64+281749.6,195.34022,28.29732,0.021256,6372,20.45,0
WISEA J130210.18+272757.9,195.54226,27.46613,0.023175,6948,20.45,0
WISEA J130300.88+281808.2,195.75353,28.30226,0.027638,8286,20.45,0
SDSS J130051.88+273802.1,195.21617,27.63395,0.0261,7825,20.46,0
WISEA J125955.75+284204.6,194.98217,28.70135,0.024262,7274,20.47,0
WISEA J130122.48+273527.0,195.34348,27.59057,0.022777,6828,20.47,0
WISEA J130458.13+280830.5,196.24228,28.14166,0.025195,7553,20.47,0
WISEA J125743.80+272740.9,194.43249,27.46146,0.023319,6991,20.48,0
SDSS J125848.40+275750.0,194.70175,27.96388,0.026502,7945,20.48,0
WISEA J125548.16+274426.2,193.95073,27.7411,0.019929,5975,20.49,0
WISEA J125649.13+265902.8,194.20486,26.98401,0.025628,7683,20.49,0
WISEA J125724.73+275403.9,194.35285,27.901,0.019294,5784,20.49,0
WISEA J130000.29+272805.0,195.00154,27.46836,0.024783,7430,20.49,0
WISEA J130301.17+285408.8,195.75511,28.90235,0.022987,6891,20.5,0
WISEA J125920.21+273901.2,194.83454,27.65058,0.023031,6905,20.51,0
SDSS J130424.85+274026.3,196.10362,27.67373,0.023212,6959,20.51,0
WISEA J125652.79+275628.8,194.22002,27.94111,0.024914,7469,20.52,0
WISEA J125930.13+280732.2,194.87558,28.12552,0.025382,7609,20.53,0
SDSS J130358.77+280650.9,195.99491,28.11417,0.023817,7140,20.53,0
WISEA J130045.42+274410.9,195.18984,27.73633,0.0235,7045,20.54,0
SDSS J130143.31+280109.5,195.43049,28.01932,0.023493,7043,20.54,0
SDSS J130152.75+280515.6,195.46981,28.08769,0.023453,7031,20.54,0
WISEA J130358.74+281244.3,195.99479,28.21222,0.019799,5936,20.54,0
WISEA J125529.63+274407.5,193.87338,27.73527,0.023945,7179,20.55,0
GALEXMSC J130217.40+283316.2,195.57282,28.55468,0.022177,6648,20.55,0
SDSS J125609.45+274806.5,194.03944,27.80184,0.024487,7341,20.56,0
WISEA J125959.94+284239.7,194.9998,28.71113,0.019798,5935,20.56,0
WISEA J125519.12+280933.6,193.82984,28.15933,0.020335,6096,20.57,0
WISEA J125805.66+272256.8,194.52394,27.38271,0.02466,7393,20.57,0
WISEA J130019.66+272016.9,195.08175,27.33785,0.020892,6263,20.57,0
WISEA J130121.71+280355.0,195.3405,28.0653,0.025446,7629,20.57,0
WISEA J130344.78+273749.6,195.93675,27.63078,0.018683,5601,20.57,0
SDSS J130525.38+275516.1,196.35575,27.9211,0.024529,7354,20.57,0
WISEA J125404.01+273151.2,193.51661,27.53074,0.025288,7581,20.58,0
WISEA J125631.43+283426.5,194.13115,28.57409,0.024776,7428,20.58,0
WISEA J125756.17+273725.7,194.48385,27.62394,0.024619,7381,20.58,0
WISEA J125522.72+285738.8,193.84457,28.96063,0.024092,7223,20.59,0
WISEA J130043.90+271816.5,195.18315,27.30475,0.02456,7363,20.59,0
SDSS J130415.01+281226.7,196.06234,28.20749,0.026703,8005,20.59,0
SDSS J130031.92+275711.2,195.13307,27.9532,0.0196,5876,20.6,1
WISEA J130514.79+275828.0,196.31196,27.9744,0.024688,7401,20.6,0
SDSS J125841.38+274941.6,194.67247,27.82825,0.026203,7855,20.61,0
WISEA J125516.18+281650.4,193.81733,28.28091,0.022307,6687,20.62,0
WISEA J125534.91+272417.2,193.89559,27.40437,0.02241,6718,20.64,0
WISEA J125905.84+272921.3,194.77421,27.48904,0.023249,6970,20.64,0
SDSS J125909.54+281712.1,194.78983,28.28668,0.0227,6805,20.64,0
WISEA J125544.81+272447.8,193.93678,27.41326,0.021593,6473,20.65,0
SDSS J125639.68+265021.9,194.16537,26.8394,0.01973,5915,20.65,0
WISEA J130023.13+275224.0,195.09638,27.87356,0.02328,6979,20.65,0
SDSS J130111.50+280216.4,195.29793,28.03789,0.018886,5662,20.65,0
SDSS J125857.78+275720.4,194.74079,27.95571,0.0197,5906,20.66,0
WISEA J125513.24+274052.2,193.80521,27.68129,0.025849,7749,20.67,0
WISEA J130122.32+280222.9,195.34296,28.03976,0.020155,6042,20.67,0
SDSS J130311.19+280533.0,195.79675,28.09237,0.027315,8189,20.67,0
WISEA J130042.70+273017.2,195.1779,27.50488,0.018376,5509,20.68,0
SDSS J130316.52+275652.0,195.81894,27.94775,0.019431,5825,20.69,0
SDSS J125826.43+280455.4,194.61024,28.08211,0.019495,5844,20.7,0
WISEA J130238.15+275956.3,195.65881,27.99886,0.026956,8081,20.7,0
SDSS J130404.61+285216.2,196.01921,28.87114,0.019879,5960,20.7,0
WISEA J125538.21+275028.9,193.90893,27.84135,0.020865,6255,20.71,0
SDSS J130337.42+281157.8,195.90585,28.19938,0.026146,7838,20.72,0
SDSS J125612.91+270123.8,194.05374,27.0233,0.02469,7402,20.73,0
WISEA J125735.22+273404.9,194.39672,27.56801,0.023774,7127,20.73,0
SDSS J125747.49+264709.5,194.44783,26.78594,0.025181,7549,20.74,0
WISEA J125857.27+274508.5,194.73855,27.75227,0.023021,6902,20.75,0
WISEA J125919.62+281626.0,194.83198,28.27412,0.0193,5786,20.76,0
WISEA J125945.69+273642.2,194.94017,27.61184,0.022979,6889,20.76,0
WISEA J125739.12+274724.6,194.41312,27.79035,0.026131,7834,20.79,0
WISEA J125917.66+264330.3,194.82357,26.72512,0.022539,6757,20.79,0
SDSS J125624.28+273024.3,194.10115,27.50678,0.02127,6377,20.81,0
SDSS J125839.52+274652.8,194.66468,27.78134,0.027645,8288,20.81,0
COMAi J130029.715+275806.73,195.12379,27.96855,0.017412,5220,20.82,1
SDSS J130115.64+283948.8,195.31517,28.66358,0.021998,6595,20.82,0
SDSS J130154.68+275103.3,195.4778,27.85094,0.027019,8100,20.83,0
WISEA J130246.60+280602.4,195.694,28.10076,0.025987,7791,20.83,0
WISEA J125716.36+281707.2,194.3181,28.28572,0.023877,7158,20.84,0
WISEA J130135.79+281903.6,195.39929,28.31734,0.026461,7933,20.84,0
WISEA J130012.80+274948.4,195.05338,27.83003,0.020464,6135,20.85,0
WISEA J125427.40+272521.2,193.61406,27.42271,0.026515,7949,20.87,0
SDSS J130005.76+280212.1,195.02399,28.03669,0.0194,5816,20.87,0
WISEA J125619.13+273921.9,194.07961,27.65621,0.02769,8301,20.88,0
SDSS J130032.96+275406.6,195.13735,27.90185,0.021915,6570,20.88,0
WISEA J125436.15+273152.8,193.65043,27.53127,0.018171,5448,20.89,0
WISEA J130134.29+272906.6,195.39209,27.48475,0.022012,6599,20.9,0
WISEA J125835.09+273520.2,194.64611,27.58888,0.024175,7247,20.91,0
SDSS J130015.72+280551.6,195.06552,28.09762,0.0172,5156,20.93,0
SDSS J130257.80+291047.9,195.74089,29.18006,0.024525,7352,20.93,0
WISEA J130528.89+274918.8,196.37043,27.82141,0.018561,5564,20.93,1
SDSS J130023.47+280301.9,195.09779,28.05053,0.023603,7076,20.95,0
WISEA J125554.12+274629.6,193.97527,27.77485,0.023055,6912,20.98,0
SDSS J130005.38+275333.1,195.02251,27.89252,0.020961,6284,20.98,1
WISEA J130412.77+281310.2,196.05313,28.21932,0.022758,6823,20.98,0
SDSS J130022.90+275515.1,195.09564,27.92089,0.01758,5270,21,1
[ANM98] +1.66+1.02,194.89278,27.90734,0.0227,6805,21.3,4
COMAi J125935.590+275734.63,194.89833,27.95972,0.024,7195,24.49,0
COMAi J130051.328+280426.44,195.21405,28.07392,0.023556,7062,25.05,1
NGC 4874,194.89883,27.95926,0.023907,7167,12.7b,6
NGC 4886:[WLQ2016] X0001,195.03388,27.97692,0.0215,6446,12.9g,3
NGC 4921,195.35883,27.886,0.018249,5471,13.1g,0
NGC 4839,194.3515,27.49786,0.024477,7338,13.4g,0
NGC 4944,195.95812,28.18569,0.023233,6965,13.5g,0
NGC 4841A,194.38315,28.47696,0.022566,6765,13.6g,0
NGC 4816,194.05062,27.7455,0.023062,6914,13.7g,0
NGC 4797,193.72979,27.41281,0.026155,7841,13.8g,0
NGC 4827,194.18133,27.17878,0.025308,7587,13.8g,0
NGC 4926,195.47388,27.62443,0.026226,7862,13.8g,0
NGC 4931,195.75373,28.03247,0.018053,5412,13.9g,1
NGC 4807,193.87127,27.52145,0.023307,6987,14.1g,0
NGC 4853,194.64667,27.59634,0.025641,7687,14.1g,0
NGC 4907,195.20337,28.15834,0.019367,5806,14.1g,1
NGC 4860,194.76628,28.12369,0.026452,7930,14.2g,0
NGC 4892,195.01469,26.89809,0.019764,5925,14.2g,0
NGC 4841B,194.39121,28.48227,0.020871,6257,14.3g,0
NGC 4848,194.52324,28.24257,0.023999,7195,14.3g,0
NGC 4859,194.75758,26.81569,0.023871,7156,14.3g,0
WISEA J125957.75+281447.9,194.99063,28.24665,0.022369,6706,14.3g,1
NGC 4923,195.38249,27.84751,0.018257,5473,14.4g,0
IC 0843,195.38993,29.13054,0.02453,7354,14.4g,0
NGC 4927,195.48999,28.00586,0.02575,7720,14.4g,0
NGC 4840,194.38681,27.61031,0.020127,6034,14.5g,0
NGC 4864,194.80462,27.97692,0.022532,6755,14.5g,1
NGC 4869,194.84733,27.91161,0.02282,6841,14.5g,3
IC 3990,194.91295,28.89558,0.020443,6129,14.5g,0
NGC 4896,195.12822,28.34637,0.019864,5955,14.5g,0
IC 0842,195.1648,29.01942,0.02425,7270,14.5g,0
CGCG 160-091,195.21706,28.36613,0.025545,7658,14.5g,0
IC 4088,195.43076,29.04476,0.023795,7134,14.5g,0
CGCG 160-107,195.51748,29.25347,0.024313,7289,14.5g,0
IC 3900,193.92209,27.25075,0.023664,7094,14.6g,0
UGC 08069,194.29749,29.04506,0.025069,7515,14.6g,0
NGC 4854,194.69754,27.67474,0.027959,8382,14.6g,0
WISEA J125947.14+274237.0,194.94644,27.7103,0.027983,8389,14.6g,0
CGCG 160-079,194.94644,27.71031,0.02798,8388,14.6g,0
NGC 4919,195.32331,27.80912,0.02439,7312,14.6g,0
NGC 4929,195.68498,28.04535,0.020761,6224,14.6g,0
NGC 4881,194.99063,28.24655,0.02237,6706,14.7b,0
CGCG 160-015,193.85442,27.79804,0.02457,7366,14.7g,1
NGC 4821,194.12137,26.95699,0.023517,7050,14.7g,0
CGCG 160-065,194.62588,28.01475,0.023884,7160,14.7g,0
IC 3949,194.73338,27.83333,0.025101,7525,14.7g,2
NGC 4898A,195.07366,27.95526,0.023063,6914,14.7g,0
NGC 4934,195.81774,28.03031,0.020317,6091,14.7g,0
CGCG 1253.1+2756,193.86585,27.65613,0.023452,7031,14.8g,0
NGC 4828,194.17856,28.02046,0.020864,6255,14.8g,0
IC 3946,194.70287,27.81022,0.01974,5918,14.8g,0
WISEA J125848.72+274837.5,194.70303,27.81042,0.019744,5919,14.8g,0
IC 3959,194.78421,27.78414,0.023446,7029,14.8g,0
IC 3991,194.9158,28.92659,0.020143,6039,14.8g,0
IC 4045,195.20272,28.09074,0.023239,6967,14.8g,0
CGCG 159-114,193.63731,28.3768,0.023356,7002,14.9g,0
CGCG 160-059,194.55554,28.94813,0.025554,7661,14.9g,0
MRK 0058,194.772,27.64458,0.018134,5436,14.9g,1
NGC 4871,194.87485,27.95646,0.022666,6795,14.9g,1
NGC 4886,195.01856,27.98759,0.021251,6371,14.9g,0
NGC 4906,195.16562,27.92378,0.025087,7521,14.9g,1
IC 4042,195.17821,27.97139,0.021289,6382,14.9g,0
UGC 08122,195.20807,27.40578,0.021982,6590,14.9g,0
NGC 4922 NED02,195.35523,29.31378,0.023516,7050,14.9g,0
NGC 4926A,195.53298,27.64838,0.023066,6915,14.9g,0
SDSS J130037.86+280329.1,195.15777,28.05809,0.025567,7665,14.9R,0
CGCG 160-037,194.28923,27.46641,0.024847,7449,15.0g,0
UGC 08071,194.37493,28.18806,0.023218,6961,15.0g,0
NGC 4850,194.59097,27.96777,0.02008,6020,15.0g,0
CGCG 160-066,194.65153,27.10411,0.02656,7962,15.0g,0
CGCG 160-214,194.75755,28.22531,0.026752,8020,15.0g,0
NGC 4883,194.98338,28.03471,0.027211,8158,15.0g,1
CGCG 160-083,195.05837,28.82818,0.024474,7337,15.0g,0
IC 4032,195.10684,28.8678,0.022579,6769,15.0g,0
CGCG 160-101,195.44593,28.095,0.01935,5801,15.0g,0
CGCG 160-119,195.79061,28.58353,0.022854,6851,15.0g,0
CGCG 159-119,193.72364,28.41698,0.024658,7392,15.1g,0
CGCG 160-027,194.11096,27.83064,0.020939,6277,15.1g,0
KUG 1254+291,194.2109,28.92982,0.026995,8093,15.1g,0
ARK 395,194.21312,26.8989,0.020748,6220,15.1g,0
WISEA J125748.06+275259.0,194.45027,27.88307,0.01953,5855,15.1g,0
CGCG 160-062 NED01,194.57604,29.12874,0.026325,7892,15.1g,1
IC 3943,194.65149,28.11373,0.022692,6803,15.1g,1
IC 3955,194.77515,27.9967,0.025574,7667,15.1g,0
