

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is funded by the National Aeronautics and Space Administration.
and operated by the California Institute of Technology.


queryDateTime:2026-05-18T03:35:50PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
515|WISEA J125726.69+275028.9|194.36114 |  27.84130 |G|  6268| 0.020908 |SLS |20.15|  0.000|2|0|27|4|1|4|0
516|WISEA J125726.75+264138.0|194.36149 |  26.69391 |G|  7270| 0.024251 |SLS |17.1g|  0.000|31|0|62|23|15|6|0
517|WISEA J125726.85+284234.0|194.36204 |  28.70956 |G|  7804| 0.026033 |SLS |20.5g|  0.000|0|0|27|3|1|4|0
518|WISEA J125727.47+282622.9|194.36446 |  28.43971 |G|  7775| 0.025936 |SLS |17.2g|  0.000|29|0|74|19|11|10|0
519|WISEA J125727.51+273810.6|194.36464 |  27.63630 |G|  8041| 0.026822 |SLS |17.6g|  0.000|38|0|50|24|17|4|0
520|SDSS J125727.52+270605.3|194.36469 |  27.10149 |G|  5576| 0.018600 |SUN |20.2g|  0.000|7|0|27|6|3|4|0
521|WISEA J125727.68+273213.9|194.36536 |  27.53709 |G|  7938| 0.026478 |SLS |19.43|  0.000|5|0|36|7|2|4|0
522|WISEA J125728.15+274202.8|194.36730 |  27.70079 |G|  6479| 0.021612 |SLS |17.6g|  0.000|28|0|52|18|11|6|0
523|WISEA J125728.33+275830.9|194.36807 |  27.97526 |G| 11108| 0.037051 |SLS |18.4g|  0.000|9|0|49|9|4|4|0
524|WISEA J125728.42+281035.1|194.36845 |  28.17643 |G|  8169| 0.027249 |SLS |15.6g|  0.000|54|0|45|25|21|6|0
525|WISEA J125728.61+280346.2|194.36954 |  28.06283 |G|  4264| 0.014222 |SLS |20.44|  0.000|2|0|16|5|1|0|0
526|WISEA J125729.17+273631.2|194.37170 |  27.60863 |G|  8691| 0.028990 |SLS |19.2r|  0.000|3|0|13|4|2|0|0
527|WISEA J125729.56+281523.4|194.37331 |  28.25640 |G|  5951| 0.019849 |SLS |18.4g|  0.000|2|0|29|5|1|4|0
528|UGC 08071|194.37493 |  28.18806 |G|  6961| 0.023218 |SLS |15.0g|  0.000|89|2|62|31|26|9|0
529|WISEA J125730.59+273234.9|194.37746 |  27.54304 |G|  7651| 0.025521 |SLS |18.36|  0.000|42|0|56|25|15|6|0
530|MaNGA 08953-06101|194.37850 |  28.48115 |G|  6762| 0.022555 |SLS |     |  0.000|1|0|0|1|1|0|0
531|WISEA J125730.80+283824.2|194.37872 |  28.64009 |G|  6386| 0.021303 |SLS |19.2g|  0.000|1|0|27|4|2|4|1
532|IC 0837|194.37985 |  26.51203 |G|  7234| 0.024130 |SUN |15.2g|  0.000|99|0|73|32|32|10|1
533|WISEA J125731.22+280106.4|194.38012 |  28.01847 |G|  7058| 0.023543 |SLS |17.8g|  0.000|27|0|33|20|13|4|0
534|WISEA J125731.28+285114.9|194.38018 |  28.85411 |G| 17120| 0.057106 |SLS |20.87|  0.000|1|0|31|5|1|4|0
535|WISEA J125731.60+272123.7|194.38173 |  27.35669 |G|  7158| 0.023875 |SLS |20.00|  0.000|3|0|32|5|1|4|0
536|NGC 4841|194.38290 |  28.47695 |GPair|  6784| 0.022629 |SUN |13.5 |  0.000|31|0|15|3|1|0|0
537|NGC 4841A|194.38315 |  28.47696 |G|  6765| 0.022566 |SLS |13.6g|  0.000|167|5|71|43|41|14|0
538|NGC 4840|194.38681 |  27.61031 |G|  6034| 0.020127 |SLS |14.5g|  0.000|150|1|111|41|38|14|0
539|NGC 4841B|194.39121 |  28.48227 |G|  6257| 0.020871 |SLS |14.3g|  0.000|121|4|50|33|29|8|0
540|WISEA J125734.40+270131.5|194.39321 |  27.02529 |G|  6246| 0.020834 |SLS |19.35|  0.000|6|0|26|8|3|0|0
541|WISEA J125734.68+271837.2|194.39453 |  27.31034 |G|  7456| 0.024870 |SLS |18.33|  0.000|33|0|32|24|15|0|0
542|WISEA J125735.22+273404.9|194.39672 |  27.56801 |G|  7127| 0.023774 |SLS |20.73|  0.000|4|0|28|4|1|4|0
543|NGC 4842|194.39894 |  27.49280 |GPair|  7496| 0.025004 |SUN |14.9 |  0.000|20|1|11|4|1|0|3
544|NGC 4842A|194.39939 |  27.49325 |G|  7311| 0.024387 |SLS |13.42|  0.000|107|2|83|37|29|9|1
545|SDSS J125736.13+272905.3|194.40057 |  27.48482 |G|  7234| 0.024130 |SLS |15.9g|  0.000|19|0|26|10|9|4|1
546|NGC 4842B|194.40060 |  27.48480 |G|  7234| 0.024130 |SLS |15.9g|  0.000|63|1|30|25|23|5|0
547|WISEA J125736.27+281400.2|194.40113 |  28.23340 |G|  6848| 0.022841 |SLS |17.5g|  0.000|27|0|33|17|11|4|0
548|WISEA J125736.44+280437.3|194.40186 |  28.07705 |G|  6741| 0.022486 |SLS |16.4g|  0.000|38|0|47|22|16|6|0
549|WISEA J125736.53+270152.8|194.40224 |  27.03134 |G|  7352| 0.024524 |SLS |15.6g|  0.000|49|0|78|40|30|6|0
550|SDSS J125737.12+275559.5|194.40470 |  27.93323 |G|  8001| 0.026690 |SLS |19.87|  0.000|2|0|19|4|1|4|0
551|WISEA J125737.20+280225.5|194.40501 |  28.04043 |G|  6430| 0.021448 |SLS |17.5g|  0.000|41|0|14|22|18|0|0
552|WISEA J125737.91+281248.6|194.40806 |  28.21352 |G|  7298| 0.024344 |SLS |19.33|  0.000|1|0|15|4|1|0|0
553|SDSS J125738.55+285033.2|194.41067 |  28.84257 |G|  7608| 0.025376 |SLS |19.9g|  0.000|1|0|15|3|1|4|0
554|SDSS J125738.53+290236.9|194.41085 |  29.04356 |G|  6982| 0.023289 |SLS |20.26|  0.000|1|0|23|5|1|4|0
555|WISEA J125738.72+284009.3|194.41128 |  28.66927 |G|  5800| 0.019348 |SLS |19.23|  0.000|2|0|38|7|1|4|0
556|WISEA J125738.78+272718.7|194.41136 |  27.45524 |G|  7671| 0.025589 |SLS |19.03|  0.000|13|0|45|9|3|4|0
557|WISEA J125739.12+274724.6|194.41312 |  27.79035 |G|  7834| 0.026131 |SLS |20.79|  0.000|1|0|31|5|1|4|0
558|SDSS J125739.49+280330.4|194.41459 |  28.05843 |G|  6972| 0.023257 |SLS |19.71|  0.000|2|0|15|3|1|4|0
559|SDSS J125739.53+280749.7|194.41474 |  28.13044 |G|  6405| 0.021365 |SLS |22.1g|  0.000|0|0|15|2|1|4|0
560|SDSS J125740.09+271330.4|194.41706 |  27.22510 |G|  7165| 0.023900 |SLS |18.7r|  0.000|1|0|1|2|1|0|0
561|WISEA J125740.12+273228.1|194.41724 |  27.54104 |G|  7288| 0.024311 |SLS |19.17|  0.000|10|0|32|6|4|4|0
562|SDSS J125740.16+281521.1|194.41734 |  28.25587 |G| 10986| 0.036647 |SLS |20.18|  0.000|2|0|23|5|1|4|0
563|WISEA J125740.92+270741.0|194.42058 |  27.12798 |G|  5498| 0.018340 |SLS |19.32|  0.000|5|0|39|7|3|4|0
564|WISEA J125741.04+273203.9|194.42095 |  27.53439 |G|  6433| 0.021458 |SLS |19.7g|  0.000|6|0|30|5|3|4|0
565|WISEA J125742.23+284602.5|194.42569 |  28.76716 |G|  7125| 0.023766 |SLS |20.05|  0.000|1|0|16|4|1|0|0
566|SDSS J125742.87+264230.5|194.42821 |  26.70836 |G|  6900| 0.023016 |SUN |20.0g|  0.000|8|0|16|9|1|4|0
567|CGCG 160-045|194.42932 |  26.85239 |G|  6368| 0.021241 |SLS |15.4 |  0.000|59|0|62|25|19|6|0
568|WISEA J125743.22+273439.2|194.43012 |  27.57757 |G|  7233| 0.024127 |SLS |17.0g|  0.000|47|0|55|27|21|4|0
569|SDSS J125743.50+271551.4|194.43126 |  27.26434 |G| 11651| 0.038862 |SLS |21.3g|  0.000|1|0|21|3|1|4|0
570|WISEA J125743.63+290011.7|194.43183 |  29.00333 |G|  6935| 0.023134 |SLS |18.09|  0.000|8|1|18|5|2|0|1
571|SDSS J125743.71+290011.5|194.43215 |  29.00321 |G|  6919| 0.023079 |SLS |17.7g|  0.000|20|0|36|10|9|8|1
572|WISEA J125743.80+272740.9|194.43249 |  27.46146 |G|  6991| 0.023319 |SLS |20.48|  0.000|8|0|30|5|3|4|0
573|WISEA J125744.11+290113.4|194.43383 |  29.02041 |G|  7922| 0.026425 |SLS |16.5g|  0.000|28|0|80|19|10|10|0
574|WISEA J125744.47+274003.0|194.43532 |  27.66749 |G|  6095| 0.020331 |SLS |19.81|  0.000|3|0|32|5|1|4|0
575|WISEA J125744.97+270919.4|194.43747 |  27.15544 |G|  7621| 0.025421 |SLS |19.68|  0.000|7|0|31|5|3|4|0
576|WISEA J125745.29+275421.5|194.43877 |  27.90598 |G|  8101| 0.027022 |SLS |18.62|  0.000|25|0|37|16|11|4|1
577|WISEA J125745.42+274617.1|194.43924 |  27.77146 |G|  6761| 0.022551 |SLS |19.95|  0.000|3|0|27|4|1|4|0
578|WISEA J125745.65+290748.2|194.44030 |  29.12999 |G|  7469| 0.024914 |SLS |18.1g|  0.000|19|0|57|13|5|8|0
579|2MASS J12574573+2725455|194.44058 |  27.42932 |G|  8337| 0.027809 |SLS |16.8g|  0.000|40|0|35|18|12|4|0
580|2MFGC 10258|194.44240 |  27.75698 |G|  6146| 0.020500 |SLS |15.5g|  0.000|69|1|58|42|31|6|0
581|SDSS J125746.69+280306.9|194.44457 |  28.05191 |G|  6572| 0.021923 |SLS |20.1r|  0.000|1|0|15|2|1|4|1
582|WISEA J125746.70+280826.7|194.44460 |  28.14075 |G|  6411| 0.021385 |SLS |16.6g|  0.000|39|1|44|19|12|6|0
583|WISEA J125747.04+290858.2|194.44602 |  29.14950 |G|  7170| 0.023918 |SLS |15.7g|  0.000|40|0|72|21|14|10|0
584|CGCG 160-047|194.44726 |  27.83325 |G|  6062| 0.020222 |SLS |15.7 |  0.000|77|0|66|34|27|6|0
585|SDSS J125747.49+264709.5|194.44783 |  26.78594 |G|  7549| 0.025181 |SLS |20.74|  0.000|2|0|25|5|1|4|0
586|WISEA J125747.86+274610.0|194.44943 |  27.76946 |G|  5780| 0.019280 |SLS |17.0g|  0.000|45|0|48|20|15|6|0
587|CGCG 160-048|194.44989 |  27.88259 |GPair|  6941| 0.023153 |SUN |15.3 |  0.000|25|1|3|3|3|4|0
588|CGCG 160-048 NED01|194.45012 |  27.88289 |G|  5855| 0.019530 |SLS |15.2g|  0.000|55|0|21|21|18|2|0
589|WISEA J125748.06+275259.0|194.45027 |  27.88307 |G|  5855| 0.019530 |SLS |15.1g|  0.000|15|0|33|7|7|4|0
590|CGCG 160-049|194.45275 |  28.18041 |G|  7250| 0.024184 |SLS |15.48|  0.000|106|0|62|36|30|6|0
591|WISEA J125749.06+270403.1|194.45446 |  27.06754 |G| 11809| 0.039389 |SLS |19.14|  0.000|16|0|40|10|5|4|0
592|MAPS-NGP O_323_0658648|194.45583 |  29.04503 |GPair|  6895| 0.023000 |SUN |19.44|  0.000|5|0|2|3|1|0|0
593|WISEA J125749.75+283727.4|194.45730 |  28.62430 |G|  7495| 0.025002 |SLS |17.7g|  0.000|23|0|43|17|9|4|0
594|WISEA J125750.21+281013.5|194.45922 |  28.17044 |G|  6918| 0.023077 |SLS |17.2g|  0.000|31|0|32|16|14|4|0
595|WISEA J125750.56+273837.5|194.46069 |  27.64377 |G|  6825| 0.022765 |SLS |17.39|  0.000|26|0|45|18|11|4|0
596|CGCG 160-048 NED02|194.46098 |  27.87951 |G|  6947| 0.023173 |SLS |16.0g|  0.000|61|1|48|24|21|6|0
597|WISEA J125750.73+272927.0|194.46142 |  27.49084 |G|  7344| 0.024498 |SLS |18.3g|  0.000|38|0|38|14|11|4|0
598|WISEA J125750.93+273205.5|194.46211 |  27.53474 |G|  5738| 0.019141 |SLS |19.78|  0.000|6|0|33|5|2|4|0
599|WISEA J125751.05+282746.0|194.46268 |  28.46274 |G|  6112| 0.020386 |SLS |19.59|  0.000|2|0|30|5|1|4|0
600|WISEA J125751.47+270451.7|194.46447 |  27.08103 |G|  7945| 0.026500 |SUN |19.13|  0.000|4|0|15|3|2|0|0
601|SDSS J125751.51+274923.8|194.46465 |  27.82311 |G|  6900| 0.023016 |SUN |19.1r|  0.000|9|0|16|9|1|4|0
602|WISEA J125751.90+281642.3|194.46628 |  28.27842 |G|  6595| 0.021999 |SLS |19.32|  0.000|2|0|27|4|1|4|0
603|WISEA J125752.24+274422.4|194.46767 |  27.73957 |G|  6925| 0.023099 |SLS |19.22|  0.000|14|0|29|8|5|4|0
604|DESI J194.4679+27.7396|194.46798 |  27.73963 |G|  6928| 0.023109 |SLS |     |  0.000|2|0|0|3|3|0|0
605|WISEA J125752.49+275736.4|194.46868 |  27.96014 |G|  7483| 0.024960 |SLS |19.45|  0.000|4|0|33|6|1|4|0
606|WISEA J125752.60+280300.3|194.46928 |  28.05024 |G|  8000| 0.026685 |SLS |19.60|  0.000|3|0|27|4|1|4|0
607|WISEA J125752.73+273442.5|194.46961 |  27.57813 |G|  6867| 0.022906 |SLS |20.39|  0.000|4|0|31|5|1|4|0
608|SDSS J125753.05+275121.9|194.47112 |  27.85616 |G|  5927| 0.019769 |SLS |20.5r|  0.000|1|0|29|4|1|4|0
609|WISEA J125753.13+274226.2|194.47140 |  27.70728 |G|  6449| 0.021512 |SLS |17.14|  0.000|35|0|43|21|11|2|0
610|SMDG J1257534+273202|194.47228 |  27.53385 |G|  7032| 0.023456 |SUN |     |  0.000|7|0|0|7|1|0|0
611|WISEA J125753.93+282959.3|194.47475 |  28.49983 |G|  7302| 0.024357 |SLS |16.0g|  0.000|65|1|73|31|24|10|1
612|WISEA J125754.25+273741.0|194.47603 |  27.62803 |G|  7719| 0.025749 |SLS |19.19|  0.000|5|0|49|9|2|4|0
613|MCG +05-31-036|194.47650 |  27.49065 |G|  4975| 0.016595 |SLS |15.7g|  0.000|76|0|69|39|32|8|0
614|SDSS J125755.24+264950.8|194.48016 |  26.83077 |G|  5598| 0.018674 |SLS |20.38|  0.000|4|0|18|3|2|4|0
615|WISEA J125755.36+271355.0|194.48067 |  27.23197 |G|  6480| 0.021615 |SLS |18.1g|  0.000|28|0|42|14|9|4|0
616|SDSS J125755.69+272924.2|194.48201 |  27.49011 |G|  7612| 0.025390 |SLS |18.9r|  0.000|1|0|1|2|1|0|0
617|SDSS J125755.77+270001.4|194.48231 |  27.00070 |G| 11819| 0.039424 |SLS |20.1g|  0.000|4|0|19|3|2|4|0
618|SDSS J125756.00+272036.6|194.48334 |  27.34348 |G|  7511| 0.025053 |SLS |21.3g|  0.000|0|0|15|2|1|4|0
619|WISEA J125756.17+273725.7|194.48385 |  27.62394 |G|  7381| 0.024619 |SLS |20.58|  0.000|3|0|28|4|1|4|0
620|WISEA J125756.22+273452.6|194.48429 |  27.58130 |G|  4965| 0.016561 |SLS |16.3g|  0.000|55|0|67|21|17|6|0
621|WISEA J125756.73+275930.0|194.48491 |  27.99202 |G|  4565| 0.015226 |SLS |17.1g|  0.000|50|0|51|17|11|4|0
622|WISEA J125756.50+272256.0|194.48543 |  27.38224 |G|  5212| 0.017385 |SLS |17.5g|  0.000|43|0|55|25|18|6|0
623|WISEA J125756.67+270215.0|194.48613 |  27.03752 |G|  7420| 0.024749 |SLS |16.1g|  0.000|45|1|71|25|18|6|0
624|WISEA J125756.74+272633.5|194.48642 |  27.44266 |G|  7701| 0.025689 |SLS |17.7g|  0.000|30|0|34|16|10|0|0
625|SDSS J125756.78+281244.1|194.48660 |  28.21223 |G| 11004| 0.036704 |SLS |20.28|  0.000|2|0|19|4|1|4|0
626|DESI J194.4866+27.9916|194.48666 |  27.99169 |G|  4565| 0.015228 |SLS |     |  0.000|2|0|0|3|3|0|0
627|WISEA J125756.97+275505.6|194.48737 |  27.91848 |G|  7825| 0.026103 |SLS |20.33|  0.000|3|0|12|4|1|0|0
628|SDSS J125757.21+282646.9|194.48840 |  28.44639 |G|  5795| 0.019331 |SLS |19.99|  0.000|2|0|15|3|1|4|0
629|WISEA J125757.50+272449.3|194.48967 |  27.41364 |G|  7731| 0.025788 |SLS |19.92|  0.000|3|0|28|4|1|4|0
630|WISEA J125757.55+275529.3|194.48986 |  27.92487 |G|  5604| 0.018694 |SLS |19.99|  0.000|3|0|31|5|1|4|0
631|SDSS J125757.71+280342.4|194.49046 |  28.06178 |G|  8136| 0.027139 |SLS |15.6g|  0.000|13|0|15|4|5|4|1
632|KUG 1255+283|194.49050 |  28.06179 |G|  8136| 0.027140 |SLS |15.7g|  0.000|93|2|19|19|24|4|0
633|SSTSL2 J125757.82+280341.4|194.49078 |  28.06150 |G|  8141| 0.027155 |SLS |15.6g|  0.000|1|0|10|3|2|0|0
634|SDSS J125757.82+280339.4|194.49100 |  28.06089 |G|  8160| 0.027218 |SLS |19.3g|  0.000|1|0|15|2|1|4|1
635|WISEA J125757.97+272103.3|194.49158 |  27.35079 |G|  8680| 0.028952 |SLS |19.56|  0.000|10|0|37|6|3|4|0
636|WISEA J125758.20+274030.1|194.49256 |  27.67506 |G|  5353| 0.017857 |SLS |19.69|  0.000|9|0|36|6|3|4|0
637|WISEA J125758.27+281546.5|194.49298 |  28.26291 |G| 14465| 0.048250 |PUN |20.8r|  0.000|2|0|27|2|1|4|0
638|WISEA J125758.60+265620.9|194.49410 |  26.93909 |G|  7599| 0.025349 |SLS |18.2g|  0.000|14|0|36|11|7|4|0
639|SDSS J125759.81+272331.1|194.49936 |  27.39200 |G|  7326| 0.024437 |SLS |19.0g|  0.000|7|0|18|4|3|4|0
640|WISEA J125759.90+275108.7|194.49956 |  27.85251 |G|  7151| 0.023852 |SLS |19.21|  0.000|9|0|23|7|3|0|0
641|WISEA J125800.75+272714.3|194.50315 |  27.45398 |G|  7679| 0.025614 |SLS |17.2g|  0.000|39|0|54|24|16|6|0
642|WISEA J125800.89+281331.6|194.50387 |  28.22551 |G|  6964| 0.023230 |SLS |23.1g|  0.000|1|0|37|4|1|4|0
643|WISEA J125801.00+274621.4|194.50405 |  27.77285 |G|  5376| 0.017932 |SLS?|18.9r|  0.000|1|0|12|3|1|0|0
644|SDSS J125801.11+271126.4|194.50471 |  27.19066 |G|  7792| 0.025990 |SLS |20.1r|  0.000|14|0|2|13|4|0|0
645|MCG +05-31-037|194.50651 |  27.48963 |G|  7624| 0.025431 |SLS |15.3g|  0.000|69|0|86|39|33|8|0
646|WISEA J125801.72+275112.8|194.50717 |  27.85358 |G|  5690| 0.018980 |SLS |17.0g|  0.000|38|0|44|18|17|6|0
647|SDSS J125802.17+271047.9|194.50908 |  27.18000 |G|  6259| 0.020878 |SLS |20.4g|  0.000|1|0|31|5|1|4|0
648|UGC 08080|194.50993 |  26.85952 |G|  7352| 0.024524 |SLS |14.96|  0.000|73|3|67|35|25|11|0
649|WISEA J125802.46+274825.8|194.51032 |  27.80723 |G|  5657| 0.018869 |SLS |19.46|  0.000|5|0|20|6|1|0|0
650|ABELL 1656:[EF2011] 7536|194.51131 |  28.63728 |G| 14348| 0.047860 |PUN |21.6g|  0.000|1|0|0|1|1|0|0
651|WISEA J125802.86+275842.2|194.51192 |  27.97839 |G|  6565| 0.021898 |SLS |17.7g|  0.000|43|0|36|26|20|4|0
652|SDSS J125803.02+280951.8|194.51260 |  28.16438 |G|  7908| 0.026377 |SLS |19.90|  0.000|2|0|15|3|1|4|0
653|CGCG 160-052|194.51319 |  26.91594 |G|  8215| 0.027401 |SLS |15.4g|  0.000|69|0|72|34|24|6|0
654|CGCG 160-053|194.51441 |  27.81503 |G|  7127| 0.023773 |SLS |15.6g|  0.000|70|0|67|22|20|6|0
655|DESI J194.5146+27.8149|194.51464 |  27.81491 |G|  7148| 0.023843 |SLS |     |  0.000|2|0|0|3|3|0|0
656|WISEA J125803.52+274056.7|194.51468 |  27.68244 |G|  7234| 0.024129 |SLS |17.3g|  0.000|36|0|52|19|11|6|0
657|WISEA J125803.52+274920.8|194.51477 |  27.82246 |G|  6696| 0.022336 |SLS |19.1g|  0.000|4|0|27|4|1|4|0
658|SDSS J125804.22+280340.5|194.51761 |  28.06126 |G| 16225| 0.054120 |PUN |20.4r|  0.000|2|0|25|2|1|4|0
659|SDSS J125804.23+283945.9|194.51769 |  28.66276 |G|  7487| 0.024973 |SLS |19.5g|  0.000|0|0|15|2|1|4|0
660|WISEA J125804.48+273559.8|194.51848 |  27.59981 |G|  5981| 0.019950 |SLS |20.34|  0.000|4|0|28|4|1|4|0
661|SMDG J1258050+274358|194.52090 |  27.73285 |VisS|  7057| 0.023540 |SUN |21.1R|  0.000|10|0|1|10|1|0|0
662|NGC 4848|194.52324 |  28.24257 |G|  7195| 0.023999 |SLS |14.3g|  0.000|229|2|93|52|48|8|0
663|WISEA J125805.59+290102.7|194.52331 |  29.01744 |G|  7697| 0.025674 |SLS |17.0g|  0.000|39|0|60|29|20|6|0
664|WISEA J125805.66+272256.8|194.52394 |  27.38271 |G|  7393| 0.024660 |SLS |20.57|  0.000|7|0|30|5|3|4|0
665|2MASX J12580583+2822155|194.52432 |  28.37097 |G|  7626| 0.025436 |SLS |16.7g|  0.000|31|1|37|15|11|6|0
666|SDSS J125805.88+281433.4|194.52452 |  28.24264 |G|  7263| 0.024227 |SLS |19.0g|  0.000|8|0|15|2|4|4|0
667|WISEA J125806.06+272508.0|194.52527 |  27.41891 |G|  5762| 0.019220 |SLS |16.8g|  0.000|41|0|57|20|14|6|0
668|SSTSL2 J125806.26+275933.3|194.52612 |  27.99247 |G| 16797| 0.056030 |PUN |22.7R|  0.000|2|0|10|2|1|0|0
669|WISEA J125806.63+284101.2|194.52786 |  28.68378 |G|  7761| 0.025889 |SLS |20.06|  0.000|1|0|31|5|1|4|0
670|2MASX J12580680+2734365|194.52847 |  27.57688 |G|  7496| 0.025004 |SLS |17.1g|  0.000|44|0|46|24|20|6|0
671|WISEA J125806.84+290204.3|194.52851 |  29.03454 |G|  7267| 0.024240 |SLS |17.2g|  0.000|26|0|56|14|10|10|0
672|WISEA J125807.07+264713.5|194.52947 |  26.78710 |G|  7200| 0.024016 |SLS |17.77|  0.000|33|0|55|25|16|4|0
673|SDSS J125808.57+285413.8|194.53578 |  28.90389 |G|  7164| 0.023897 |SLS |19.51|  0.000|1|0|15|3|1|4|0
674|WISEA J125808.69+284949.1|194.53629 |  28.83036 |G|  9685| 0.032307 |SLS |19.84|  0.000|1|0|35|6|1|4|0
675|WISEA J125808.92+275504.9|194.53701 |  27.91805 |G|  5963| 0.019892 |SLS |20.04|  0.000|5|0|16|5|1|0|0
676|2MASX J12580926+2639505|194.53849 |  26.66426 |G|  7294| 0.024329 |SLS |17.14|  0.000|31|0|34|16|11|6|0
677|CGCG 160-058|194.53863 |  28.70865 |G|  7621| 0.025422 |SLS |15.3g|  0.000|152|1|131|40|36|16|1
678|SDSS J125809.27+282528.0|194.53866 |  28.42458 |G|  8737| 0.029144 |SLS |18.0r|  0.000|1|0|15|2|1|4|0
679|WISEA J125809.51+281105.4|194.53964 |  28.18484 |G| 13249| 0.044193 |SLS |18.1g|  0.000|17|0|35|10|7|0|0
680|WISEA J125809.70+273257.8|194.54044 |  27.54942 |G|  6976| 0.023270 |SLS |17.8b|  0.000|52|0|54|24|18|6|1
681|SDSS J125809.69+284225.3|194.54053 |  28.70696 |G|  7640| 0.025483 |SLS |17.1g|  0.000|0|0|15|2|1|4|1
682|WISEA J125810.08+264636.0|194.54204 |  26.77670 |G|  6771| 0.022587 |SLS |19.43|  0.000|6|0|38|5|2|4|0
683|SMDG J1258104+271911|194.54342 |  27.31984 |G|  6882| 0.022956 |SUN |     |  0.000|9|0|1|9|1|0|0
684|WISEA J125811.11+275137.0|194.54633 |  27.86029 |G|  7012| 0.023391 |SLS |18.2g|  0.000|28|0|34|15|9|4|0
685|SDSS J125811.35+283537.3|194.54728 |  28.59369 |G|  5757| 0.019203 |SLS?|20.33|  0.000|1|0|15|3|1|4|0
686|WISEA J125811.44+275623.7|194.54767 |  27.93994 |G|  8508| 0.028380 |SLS |16.80|  0.000|43|0|56|20|16|6|0
687|WISEA J125811.65+275337.1|194.54855 |  27.89364 |G|  5740| 0.019147 |SLS |19.23|  0.000|22|0|33|13|8|4|0
688|WISEA J125811.65+273232.8|194.54864 |  27.54245 |G|  7101| 0.023688 |SLS |19.23|  0.000|30|0|26|18|11|0|0
689|WISEA J125812.01+270739.3|194.55007 |  27.12760 |G| 11624| 0.038775 |SLS |17.4g|  0.000|27|0|65|20|11|6|0
690|WISEA J125812.09+280933.0|194.55033 |  28.15905 |G|  7305| 0.024367 |SLS |19.73|  0.000|3|0|27|4|1|4|0
691|WISEA J125812.99+265657.8|194.55416 |  26.94949 |G|  6732| 0.022455 |SLS |19.47|  0.000|7|0|35|5|3|4|0
692|SMDG J1258131+272522|194.55482 |  27.42282 |G|  6900| 0.023016 |SUN |     |  0.000|8|0|1|8|1|0|0
693|WISEA J125813.14+270113.9|194.55488 |  27.02048 |G|  8013| 0.026730 |SLS |20.11|  0.000|2|0|47|7|1|4|0
694|CGCG 160-059|194.55554 |  28.94813 |G|  7661| 0.025554 |SLS |14.9g|  0.000|71|0|90|38|29|10|0
695|WISEA J125813.60+275419.3|194.55660 |  27.90526 |G|  8212| 0.027392 |SLS |19.89|  0.000|5|0|31|5|1|4|0
696|WISEA J125813.79+281057.0|194.55750 |  28.18251 |G|  7180| 0.023950 |SLS |15.5g|  0.000|66|0|46|32|27|6|0
697|WISEA J125814.44+275442.3|194.56014 |  27.91171 |G|  7350| 0.024517 |SLS |20.39|  0.000|5|0|27|4|1|4|0
698|WISEA J125814.48+272429.4|194.56035 |  27.40817 |IrS|  6963| 0.023226 |SUN |     |  0.000|6|0|23|8|1|0|0
699|WISEA J125814.52+274127.9|194.56038 |  27.69098 |G|  7558| 0.025211 |SLS |19.88|  0.000|4|0|12|4|1|0|0
700|IC 0839|194.56270 |  28.12589 |G|  7472| 0.024923 |SLS |15.4g|  0.000|60|0|60|23|19|6|0
701|WISEA J125815.05+283118.5|194.56271 |  28.52182 |G|  6911| 0.023052 |SLS |17.1g|  0.000|39|0|67|28|18|8|0
702|WISEA J125815.28+272752.9|194.56366 |  27.46470 |G|  7648| 0.025512 |SLS |18.5g|  0.000|20|0|42|11|5|4|0
703|WISEA J125815.56+270513.9|194.56487 |  27.08721 |G|  7731| 0.025788 |SLS |17.2g|  0.000|29|0|59|18|10|6|0
704|WISEA J125816.07+290533.8|194.56692 |  29.09256 |G|  5861| 0.019551 |SLS |19.53|  0.000|3|0|37|7|1|4|0
705|WISEA J125816.53+274809.3|194.56889 |  27.80260 |G|  5694| 0.018993 |SLS |18.74|  0.000|34|0|40|20|13|4|0
706|SDSS J125816.56+265610.6|194.56903 |  26.93632 |G| 17387| 0.057997 |SLS |22.4g|  0.000|1|0|17|2|1|4|0
707|WISEA J125817.07+270649.8|194.57086 |  27.11368 |G|  7450| 0.024852 |SLS |18.9g|  0.000|2|0|28|4|1|4|0
708|WISEA J125817.40+280224.1|194.57251 |  28.04004 |G|  6191| 0.020651 |SLS |17.19|  0.000|37|0|43|17|12|6|0
709|WISEA J125817.68+270811.7|194.57369 |  27.13659 |G| 11886| 0.039647 |SLS |15.6g|  0.000|44|1|59|13|16|6|0
710|CGCG 160-062|194.57555 |  29.12830 |GPair|  7879| 0.026281 |SUN |15.0 |  0.000|21|0|9|5|4|1|3
711|WISEA J125818.23+275054.6|194.57600 |  27.84852 |G|  7579| 0.025280 |SLS |17.3g|  0.000|39|0|37|16|12|4|0
712|CGCG 160-062 NED01|194.57604 |  29.12874 |G|  7892| 0.026325 |SLS |15.1g|  0.000|65|0|66|33|28|10|1
